class,month,sd,mean,lower,upper,lower_q,upper_q,sum_point,sum_lower,sum_upper,sum_lower_q,sum_upper_q,trend,trend_low,trend_high,trend_low_q,trend_high_q
Grassland,Jan,1168658.470853366,4603984.502388114,2313455.989287865,6894513.015488364,2264807.3842853727,6919793.217607193,9335055.901653986,4512081.897449157,14158029.905858817,4564828.441230254,14136679.010785317,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Grassland,Jul,1296813.826004514,5180725.249773778,2639016.856151339,7722433.643396217,2585124.875531354,7750795.358343433,10455750.241305798,5105343.595110757,15806156.887500841,5154034.672636566,15780600.69438172,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Grassland,Jun,1071669.8373619462,4177388.4096519616,2076954.1251046504,6277822.694199273,2032278.4133737283,6300796.527427624,8453844.680323876,4054573.3750716955,12853115.985576058,4091050.355723415,12819194.53737505,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Grassland,Mar,998475.2176634663,3860649.4400126208,1903673.973936436,5817624.906088806,1861999.571656116,5838873.071388481,7812990.5887304405,3724562.6869468074,11901418.490514075,3737490.2277483037,11868538.151331898,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Grassland,May,839060.4169530035,3187794.208433625,1543266.0103525773,4832322.406514673,1508140.7432240427,4849867.232562128,6466798.402062309,3040871.7017773995,9892725.10234722,3014016.627207793,9850505.057106527,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Grassland,Nov,931123.7098012901,3573876.0966520146,1748907.1602901616,5398845.033013867,1709997.6528787836,5418520.065553301,7272717.318282139,3447030.803264068,11098403.833300209,3443541.338197253,11066896.586851967,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Grassland,Oct,776017.336839094,2927684.7964751795,1406718.764891868,4448650.8280584905,1374188.8581834133,4464752.689302181,5971481.854047146,2792181.1739022885,9150782.534192001,2766185.8912604535,9114058.410326952,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Grassland,Sep,1021406.0731927382,3959349.139378022,1957430.022329773,5961268.256426271,1914815.0122210935,5983055.443463515,8069727.397793725,3853814.3335178844,12285640.462069565,3879306.8174796505,12249902.945852611,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Wetland,Apr,6378.834192847741,26948.376973355236,14446.09169202104,39450.662254689436,14421.814870332239,38683.37139396475,6585676.5059218565,3099573.7831315203,10071779.228712194,3076634.2650492955,10031088.959818974,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Wetland,Aug,9336.32088747267,40173.075252960385,21874.22256540492,58471.927940515845,21823.114822301013,57367.952099278955,10238654.10862045,4988183.620262949,15489124.596977955,5040992.322713002,15460627.57090869,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Wetland,Dec,7995.532852446325,34122.93432161204,18451.97789361044,49793.89074961364,18414.318533427417,48841.00461325177,8624950.431301504,4142081.425170674,13107819.437432332,4182184.0810119784,13076522.560608072,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Wetland,Feb,8550.999269554653,36618.58587885619,19858.935278700763,53378.23647901161,19815.962170216026,52362.44648156173,9305150.180099864,4497053.319960042,14113247.040239688,4548878.417789296,14092165.27517839,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Wetland,Jan,8525.863395418139,36505.791330202504,19795.406138074577,53216.17652233043,19752.670303702253,52203.23688381797,9335055.901653986,4512081.897449157,14158029.905858817,4564828.441230254,14136679.010785317,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Wetland,Jul,9414.032517850716,40526.783923756106,22075.619239479784,58977.94860803243,22023.65960151493,57865.30276917034,10455750.241305798,5105343.595110757,15806156.887500841,5154034.672636566,15780600.69438172,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Wetland,Jun,7842.523162289624,33438.53903281511,18067.47608680628,48809.60197882394,18031.208255372745,47874.130390940496,8453844.680323876,4054573.3750716955,12853115.985576058,4091050.355723415,12819194.53737505,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Wetland,Mar,7446.4383607566815,31669.815251915676,17075.064251735104,46264.56625209625,17042.32972263195,45374.25733442269,7812990.5887304405,3724562.6869468074,11901418.490514075,3737490.2277483037,11868538.151331898,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Wetland,May,6179.127131458667,26071.858662951887,13960.992029398607,38182.72529650517,13938.144754047958,37438.63093615963,6466798.402062309,3040871.7017773995,9892725.10234722,3014016.627207793,9850505.057106527,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Wetland,Nov,6854.483093721982,29046.002736430575,15611.462740096806,42480.54273276434,15583.553669324765,41658.27940473984,7272717.318282139,3447030.803264068,11098403.833300209,3443541.338197253,11066896.586851967,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Wetland,Oct,5848.194236068718,24622.89007123951,13160.639993950092,36085.14014852893,13140.082576676601,35379.58034776769,5971481.854047146,2792181.1739022885,9150782.534192001,2766185.8912604535,9114058.410326952,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Wetland,Sep,7624.877867892682,32465.844112581206,17521.358104994997,47410.33012016742,17487.050345627118,46499.65265946124,8069727.397793725,3853814.3335178844,12285640.462069565,3879306.8174796505,12249902.945852611,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
