month,GHG,class,mean,sd,min,max,lower,upper,lower_quantile,upper_quantile,sum_point,sum_lower,sum_upper,sum_lower_q,sum_upper_q,trend,trend_low,trend_high,trend_low_q,trend_high_q
Dec,CO2,Grassland,3772435.9913851973,1088044.038920649,682342.6754060015,7053317.900347491,1639908.8615072286,5904963.121263166,1593131.2098672332,5913399.994834822,7902307.958145396,3429607.2559967265,12375008.660294065,3443823.005821774,12350756.299601821,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Dec,CO2,Wetland,32112.528356360504,7994.934471312284,7515.736175267026,57921.2033281674,16442.744733830652,47782.31197889036,16436.833121787913,46788.34380346959,7902307.958145396,3429607.2559967265,12375008.660294065,3443823.005821774,12350756.299601821,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Dec,N2O,Barren,104.63023136558277,23.640964575357323,11.32479357469174,180.43430389149822,58.29479223809518,150.96567049307038,59.59011717067685,149.39958267355914,2744.084016595643,1701.1722171863767,3786.9958160049096,1724.3055974762467,3765.387205577404,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Dec,N2O,Cropland,799.6724540383325,462.815712526367,-753.7232599280833,2071.517250932748,-107.42967399258976,1706.7745820692548,-87.0699859960284,1691.9230200222896,2744.084016595643,1701.1722171863767,3786.9958160049096,1724.3055974762467,3765.387205577404,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Dec,N2O,Forestland,30.303973478793733,18.230536485174813,-21.623074789321663,93.64810146617553,-5.427221450992317,66.03516840857978,-4.2957095665308875,64.23003421601886,2744.084016595643,1701.1722171863767,3786.9958160049096,1724.3055974762467,3765.387205577404,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Dec,N2O,Grassland,1805.4959254014673,27.302344517637053,1725.4335046023334,1893.5153228171646,1751.984313453394,1859.0075373495406,1752.3299727149433,1855.6282310517793,2744.084016595643,1701.1722171863767,3786.9958160049096,1724.3055974762467,3765.387205577404,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Dec,N2O,Wetland,3.981432311466638,0.11807633957690353,3.6455254966582893,4.325682623708114,3.750006938469586,4.212857684463691,3.7512031531858687,4.206337613757288,2744.084016595643,1701.1722171863767,3786.9958160049096,1724.3055974762467,3765.387205577404,2561.7501044240557,1590.258052958054,3533.2421558900583,1611.8050013082666,3513.1037037263163
Feb,CH4,Barren,-12.558385302247832,8.933978815797182,-40.787510458999655,16.832611407733264,-30.068662019854106,4.951891415358443,-29.975673786602805,4.909351245003653,-363.912365671457,-808.7698175991355,80.94508625622149,-819.4203874612224,85.10948562808777,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Feb,CH4,Cropland,-41.49266572834234,73.10702909631578,-241.1120212485997,155.62626999591672,-184.77980977384306,101.7944783171584,-187.50002978124073,99.33507120378998,-363.912365671457,-808.7698175991355,80.94508625622149,-819.4203874612224,85.10948562808777,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Feb,CH4,Forestland,-97.31740472927054,0.6652159602899935,-99.50717916716651,-95.25832591376577,-98.62120405338015,-96.01360540516092,-98.63653053779423,-96.04782956227574,-363.912365671457,-808.7698175991355,80.94508625622149,-819.4203874612224,85.10948562808777,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Feb,CH4,Grassland,-225.19656439957936,144.19449268933244,-687.7833447478333,246.43898691901632,-507.812576839695,57.41944804053628,-515.8214782841452,64.11799079649217,-363.912365671457,-808.7698175991355,80.94508625622149,-819.4203874612224,85.10948562808777,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Feb,CH4,Wetland,12.652654487983057,0.07154182497854825,12.422619738874346,12.877102105258624,12.512435087636835,12.792873888329279,12.513324928560513,12.79490194507771,-363.912365671457,-808.7698175991355,80.94508625622149,-819.4203874612224,85.10948562808777,-306.6658451071369,-681.3067409670842,67.9750507528105,-690.272678266515,71.49157788958773
Feb,CO2,Barren,104874.45425222968,31643.67888377386,7406.777297612435,207261.20523300022,42853.98330168231,166894.92520277706,46501.7391585369,168945.21695514815,8471346.357807795,3676499.9197616875,13266192.795853904,3691719.840081699,13240169.232250253,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Feb,CO2,Cropland,4174951.566180254,1231239.6640344206,590071.4219744913,8113897.933371663,1761766.1683355938,6588136.964024914,1823362.77646114,6552143.058424298,8471346.357807795,3676499.9197616875,13266192.795853904,3691719.840081699,13240169.232250253,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Feb,CO2,Forestland,112940.03325916018,8524.76425011345,84977.60507170825,137649.00559484152,96231.80235224322,129648.26416607713,96361.62570914613,129586.5859211012,8471346.357807795,3676499.9197616875,13266192.795853904,3691719.840081699,13240169.232250253,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Feb,CO2,Grassland,4044237.0457004993,1166436.7585308447,731504.9299819171,7561503.922884166,1758063.0087364004,6330411.082664598,1707915.0639853037,6339455.8263588725,8471346.357807795,3676499.9197616875,13266192.795853904,3691719.840081699,13240169.232250253,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
Feb,CO2,Wetland,34343.25841565289,8550.310879216438,8037.8245769577725,61944.75973891715,17584.95703576767,51101.55979553811,17578.6347675723,50038.544590832906,8471346.357807795,3676499.9197616875,13266192.795853904,3691719.840081699,13240169.232250253,7541609.955626857,3273138.6430334672,11810081.268220246,3286583.726595236,11786985.145326175
